Site;Rate;H Error
34.0;90.0;0.0984405181149963
34.0;182.0;0.1832445983285604
34.0;365.0;0.2621040283951086
34.0;730.0;0.355663993396453
34.0;3652.0;0.4900823957736004
35.0;1.0;0.0
35.0;2.0;0.0030150998516777
35.0;7.0;0.0122944199633192
35.0;30.0;0.0344786821053063
35.0;90.0;0.0876112394231312
35.0;182.0;0.1740524426540218
35.0;365.0;0.1972895515165861
35.0;730.0;0.2540830157672634
35.0;3652.0;0.3256955769693263
36.0;1.0;0.0
36.0;2.0;0.0041477821556602
36.0;7.0;0.0163242379349407
36.0;30.0;0.0484083443734509
36.0;90.0;0.1001962627481541
36.0;182.0;0.1496283967553798
36.0;365.0;0.1606547501487652
36.0;730.0;0.1727490235539486
36.0;3652.0;0.1884272277762894
37.0;1.0;0.0
37.0;2.0;0.0034454562167019
37.0;7.0;0.0152138705644832
37.0;30.0;0.0394969698851695
37.0;90.0;0.1114575241594785
37.0;182.0;0.2231279764018179
37.0;365.0;0.2960903368872288
37.0;730.0;0.3711123585971357
37.0;3652.0;0.4709797239873509
38.0;1.0;0.0
38.0;2.0;0.0041310812822955
38.0;7.0;0.019255197752788
38.0;30.0;0.0428125125321804
38.0;90.0;0.1441359683284515
38.0;182.0;0.3034412647146567
38.0;365.0;0.312323538153097
38.0;730.0;0.4029567250142793
38.0;3652.0;0.4739786851375064
39.0;1.0;0.0
39.0;2.0;0.0036235430408403
39.0;7.0;0.0161892052900673
39.0;30.0;0.0432201535817663
39.0;90.0;0.1176146941951108
39.0;182.0;0.3502231781933118
39.0;365.0;0.2747909453320587
39.0;730.0;0.5481952196428936
39.0;3652.0;0.4264685377717446
40.0;1.0;0.0
40.0;2.0;0.003034250146316
40.0;7.0;0.0143076677573523
40.0;30.0;0.0411244731421169
40.0;90.0;0.1179490734963104
40.0;182.0;0.2454250363499599
40.0;365.0;0.3143904125786824
40.0;730.0;0.421672843588407
40.0;3652.0;0.5296106224938766
