Site_number,Approx,Chronicle,H Error,Rate,Execution Time,Number of Lines,Satured Zone Area,Vulnerability Sum,Vulnerability Rate,Global Area of site (in cells),Saturation Rate
4,0,0,0.002885874639346,7,4632,2193,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
4,0,0,0.008823036884892,30,2243,513,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
4,0,0,0.025539783970341,90,1484,172,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
4,0,0,0.044537655372906,182,523,86,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
4,0,0,0.054933861615534,365,238,44,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
4,0,0,0.063703774297804,730,140,23,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
4,0,0,0.076947930930123,3652,66,6,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
4,0,1,0,1,13540,15341,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,0,1,0.001038645999258,2,9188,7671,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,0,1,0.005261207521783,7,4591,2193,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,0,1,0.016895732731302,30,2656,513,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,0,1,0.053081709067484,90,1677,172,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,0,1,0.102503130048746,182,550,86,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,0,1,0.109602082804423,365,330,44,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,0,1,0.116922728593998,730,237,23,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,0,1,0.127354452325424,3652,149,6,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,1,0,0,0,15271,15341,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
4,1,0,0.064575050619108,0.5,214,26,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
4,1,0,0.063970542602468,0.8,108,17,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
4,1,1,0,0,13540,15341,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,1,1,0.104513871396529,0.5,301,26,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,1,1,0.108071975856823,0.8,319,17,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,1,1,0.11187306026621,1,267,14,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
4,1,1,0.124928626058109,2,170,8,1160,1145.1720671363,0.218211140841521,5248,0.221036585365854
5,0,0,0,1,59771,15341,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,0,0,0.006768481476096,7,13930,2193,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,0,0,0.018761726350677,30,7639,513,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,0,0,0.046522985918117,90,5081,172,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,0,0,0.088122978952479,182,2909,86,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,0,0,0.104279824793157,365,1338,44,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,0,0,0.123082135993904,730,1206,23,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,0,0,0.149126210368606,3652,381,6,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,0,1,0,1,40020,15341,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,0,1,0.009772507989575,7,15203,2193,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,0,1,0.027611993866806,30,7782,513,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,0,1,0.075581812036472,90,5251,172,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,0,1,0.154858522228001,182,2491,86,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,0,1,0.168929560167083,365,1402,44,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,0,1,0.185064988986044,730,828,23,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,0,1,0.197944471895342,3652,314,6,2030,1809.81479738624,0.070188667728766,25785,0.078727942602288
5,1,0,0,0,59771,15341,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,1,0,0.003668804307517,0.0002,20189,6597,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,1,0,0.051202081504126,0.05,4528,239,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
5,1,0,0.067137968649615,0.1,3468,122,1817,1613.31423326029,0.062567936135749,25785,0.070467325964708
