Site;SubCatch;Rate;H Error
35;13.0;330;0.0026145668813968
35;13.0;365;0.148802697767409
35;13.0;550;0.1800179085689022
35;13.0;640;0.1831386955949692
35;13.0;730;0.0026145668813968
35;13.0;1000;0.0026145668813968
35;13.0;1500;0.2050103781207045
35;13.0;2000;0.2386431438244184
35;13.0;2250;0.2201697797157202
35;13.0;3000;0.2751799286652618
35;13.0;3182;0.0026145668813968
35;13.0;3652;0.0026145668813968
37;3.0;1;0.0
37;3.0;2;0.0042208166675517
37;3.0;7;0.0191768163750198
37;3.0;15;0.0312940723888076
37;3.0;21;0.0345679473535351
37;3.0;30;0.0438076057251904
37;3.0;45;0.0619575996526412
37;3.0;50;0.0672296203009229
37;3.0;60;0.0855763375290877
37;3.0;75;0.00312831315743
37;3.0;90;0.1327850566058465
37;3.0;100;0.00312831315743
37;3.0;125;0.1767420608249593
37;3.0;150;0.2222853855443038
37;3.0;182;0.3046425959992441
37;3.0;200;0.2963950748730469
37;3.0;250;0.00312831315743
37;3.0;300;0.00312831315743
37;3.0;330;0.00312831315743
37;3.0;365;0.00312831315743
37;3.0;550;0.00312831315743
37;3.0;640;0.4788594900129513
37;3.0;730;0.5357710546874161
37;3.0;1000;0.5112811334919309
37;3.0;1500;0.6320864893381408
37;3.0;2000;0.620646650028952
37;3.0;2250;0.712934939320207
37;3.0;3000;0.8275241029380259
37;3.0;3182;0.761788737387212
37;3.0;3652;0.00312831315743
37;2.0;1;0.0
37;2.0;2;0.0041421631469509
37;2.0;7;0.0185666163269423
37;2.0;15;0.026022387994166
37;2.0;21;0.0309199614015968
37;2.0;30;0.0412643172482057
37;2.0;45;0.0700138141503935
37;2.0;50;0.0811011376576233
37;2.0;60;0.0956521101664394
37;2.0;75;5.670955180098917e-05
37;2.0;90;0.1521723189481406
37;2.0;100;5.670955180098917e-05
37;2.0;125;0.1937120437410459
37;2.0;150;0.265695840360402
37;2.0;182;0.3077776392385274
37;2.0;200;0.3729835632277302
37;2.0;250;5.670955180098917e-05
37;2.0;300;5.670955180098917e-05
37;2.0;330;5.670955180098917e-05
37;2.0;365;5.670955180098917e-05
37;2.0;550;5.670955180098917e-05
37;2.0;640;0.6697071192716448
37;2.0;730;0.8350114315482111
37;2.0;1000;0.7839717967134477
37;2.0;1500;0.988144721671827
37;2.0;2000;1.3040827871152816
37;2.0;2250;1.0112725075449454
37;2.0;3000;1.253560081545313
37;2.0;3182;1.344389478384299
37;2.0;3652;5.670955180098917e-05
37;4.0;1;0.0
37;4.0;2;0.0027671458027591
37;4.0;7;0.0120761144508212
37;4.0;15;0.0198972533204489
37;4.0;21;0.0243584146307395
37;4.0;30;0.0332896530520414
37;4.0;45;0.0499843372563487
37;4.0;50;0.0518321399630612
37;4.0;60;0.062586196500019
37;4.0;75;0.0022449047761575
37;4.0;90;0.0950779398507464
37;4.0;100;0.0022449047761575
37;4.0;125;0.119040722257382
37;4.0;150;0.1328599058563507
37;4.0;182;0.1570918753689669
37;4.0;200;0.1464490998224729
37;4.0;250;0.0022449047761575
37;4.0;300;0.0022449047761575
37;4.0;330;0.0022449047761575
37;4.0;365;0.0022449047761575
37;4.0;550;0.0022449047761575
37;4.0;640;0.2136215227977663
37;4.0;730;0.2262658111375849
37;4.0;1000;0.2251096534591955
37;4.0;1500;0.2455805351723914
37;4.0;2000;0.2568853504411242
37;4.0;2250;0.2479882734651055
37;4.0;3000;0.2633050687826536
37;4.0;3182;0.2686190244555776
37;4.0;3652;0.0022449047761575
37;5.0;1;0.0
37;5.0;2;0.0036933165705427
37;5.0;7;0.0163502344189411
37;5.0;15;0.0275725083150779
37;5.0;21;0.033495868685626
37;5.0;30;0.0461235585630376
37;5.0;45;0.0680284036114708
37;5.0;50;0.0725793871858537
37;5.0;60;0.0855152562860721
37;5.0;75;0.0018901407783915
37;5.0;90;0.1201495621242839
37;5.0;100;0.0018901407783915
37;5.0;125;0.1512226750762831
37;5.0;150;0.1640467298259829
