Site;Rate;H Error;SubCatch
33;90;0.002018266583456;3.0
33;90;0.0028055158001391;2.0
33;90;6.477501234410618e-05;5.0
33;90;6.743495761743045e-05;4.0
33;90;0.0021696318585008;6.0
33;90;0.0024822141967547;7.0
33;90;0.003327302311581;8.0
33;90;0.0022826169439025;9.0
33;182;0.002018266583456;3.0
33;182;0.0028055158001391;2.0
33;182;6.477501234410618e-05;5.0
33;182;6.743495761743045e-05;4.0
33;182;0.0021696318585008;6.0
33;182;0.0024822141967547;7.0
33;182;0.003327302311581;8.0
33;182;0.0022826169439025;9.0
33;365;0.4336311874394405;3.0
33;365;0.4379233684103368;2.0
33;365;0.2878766312326524;5.0
33;365;0.5309199453203659;4.0
33;365;0.2155664319531962;6.0
33;365;0.0940651214389879;7.0
33;365;0.336860259786334;8.0
33;365;0.3457010977578436;9.0
33;730;0.5663059644102506;3.0
33;730;0.4715741092291864;2.0
33;730;0.3290564963951961;5.0
33;730;0.7985887205989125;4.0
33;730;0.250502530456502;6.0
33;730;0.1022949628701073;7.0
33;730;0.5048953281477985;8.0
33;730;0.5081771591771534;9.0
33;3652;0.002018266583456;3.0
33;3652;0.0028055158001391;2.0
33;3652;6.477501234410618e-05;5.0
33;3652;6.743495761743045e-05;4.0
33;3652;0.0021696318585008;6.0
33;3652;0.0024822141967547;7.0
33;3652;0.003327302311581;8.0
33;3652;0.0022826169439025;9.0
35;1;0.0;2.0
35;1;0.0;7.0
35;1;0.0;6.0
35;1;0.0;5.0
35;1;0.0;4.0
35;1;0.0;8.0
35;1;0.0;9.0
35;1;0.0;12.0
35;1;0.0;11.0
35;1;0.0;13.0
35;2;0.0040163836076323;2.0
35;2;0.0031987985053853;7.0
35;2;0.0028531623903825;6.0
35;2;0.0029212378202128;5.0
35;2;0.0031140558186317;4.0
35;2;0.0055401589824067;8.0
35;2;0.002497158839842;9.0
35;2;0.0048374832153588;12.0
35;2;0.0018299947701747;11.0
35;2;0.0024637179505075;13.0
35;7;0.0183145916957657;2.0
35;7;0.012919901517453;7.0
35;7;0.0114315193476664;6.0
35;7;0.0118953834654631;5.0
35;7;0.0126962701803336;4.0
35;7;0.0220042841097064;8.0
35;7;0.0088445460548075;9.0
35;7;0.0232766313293;12.0
35;7;0.0065034214457522;11.0
35;7;0.0096694133059402;13.0
35;30;0.0452533395230253;2.0
35;30;0.0365060346672665;7.0
35;30;0.0342316904238335;6.0
35;30;0.0325120344590474;5.0
35;30;0.0351576050633185;4.0
35;30;0.0641604967373154;8.0
35;30;0.0252357890430049;9.0
35;30;0.0559281700269176;12.0
35;30;0.0183078511618471;11.0
35;30;0.0263597846723194;13.0
35;90;0.1254603657736729;2.0
35;90;0.08827861240102;7.0
35;90;0.0773572991303985;6.0
35;90;0.0862621248744049;5.0
35;90;0.0813713179051091;4.0
35;90;0.1574924495483183;8.0
