Site;Rate;H Error;Satured Zone Area;Vulnerability Sum;Vulnerability Rate;Global Area of site (in cells)
18.0;3652.0;0.0515095706017609;258;262.2135056324064;0.0697005597109001;3762
19.0;1.0;0.0;1569;1626.5722882492114;0.1070535927503759;15194
19.0;2.0;0.0072548607901231;1569;1626.5722882492114;0.1070535927503759;15194
19.0;7.0;0.0313874267323508;1569;1626.5722882492114;0.1070535927503759;15194
19.0;30.0;0.0866235149493999;1569;1626.5722882492114;0.1070535927503759;15194
19.0;90.0;0.2019039969055668;1569;1626.5722882492114;0.1070535927503759;15194
19.0;182.0;0.3536643637347382;1569;1626.5722882492114;0.1070535927503759;15194
19.0;365.0;0.4183549524657499;1569;1626.5722882492114;0.1070535927503759;15194
19.0;730.0;0.4604984753848192;1569;1626.5722882492114;0.1070535927503759;15194
19.0;3652.0;0.4840729088696178;1569;1626.5722882492114;0.1070535927503759;15194
20.0;1.0;0.0;20338;20366.40839293909;0.4211677397882229;48357
20.0;2.0;0.0029849962343305;20338;20366.40839293909;0.4211677397882229;48357
20.0;7.0;0.012403614336042;20338;20366.40839293909;0.4211677397882229;48357
20.0;30.0;0.0363035232843364;20338;20366.40839293909;0.4211677397882229;48357
20.0;90.0;0.0939738204160915;20338;20366.40839293909;0.4211677397882229;48357
20.0;182.0;0.1580830569715796;20338;20366.40839293909;0.4211677397882229;48357
20.0;365.0;0.1939241683831579;20338;20366.40839293909;0.4211677397882229;48357
20.0;730.0;0.2536156515933963;20338;20366.40839293909;0.4211677397882229;48357
20.0;3652.0;0.3341612039576478;20338;20366.40839293909;0.4211677397882229;48357
21.0;1.0;0.0;358;368.7536084106853;0.0231077583914453;15958
21.0;2.0;0.0035131589647779;358;368.7536084106853;0.0231077583914453;15958
21.0;7.0;0.0149255446543165;358;368.7536084106853;0.0231077583914453;15958
21.0;30.0;0.0354389533967742;358;368.7536084106853;0.0231077583914453;15958
21.0;90.0;0.0986127877393275;358;368.7536084106853;0.0231077583914453;15958
21.0;182.0;0.2030774731975679;358;368.7536084106853;0.0231077583914453;15958
21.0;365.0;0.2486389168180759;358;368.7536084106853;0.0231077583914453;15958
21.0;730.0;0.3009557777986608;358;368.7536084106853;0.0231077583914453;15958
