Site;Rate;H Error;Satured Zone Area;Vulnerability Sum;Vulnerability Rate;Global Area of site (in cells)
8.0;640.0;0.2008596401682099;4563;4571.162962892292;0.1912620486565812;23900
8.0;730.0;0.2290698705623457;4563;4571.162962892292;0.1912620486565812;23900
8.0;1000.0;0.2289059246595119;4563;4571.162962892292;0.1912620486565812;23900
8.0;1500.0;0.2532919976307358;4563;4571.162962892292;0.1912620486565812;23900
8.0;2000.0;0.307444958247462;4563;4571.162962892292;0.1912620486565812;23900
8.0;2250.0;0.2546218590381737;4563;4571.162962892292;0.1912620486565812;23900
8.0;3000.0;0.2952458709989269;4563;4571.162962892292;0.1912620486565812;23900
8.0;3182.0;0.3077574339344336;4563;4571.162962892292;0.1912620486565812;23900
8.0;3652.0;0.2988454033579271;4563;4571.162962892292;0.1912620486565812;23900
10.0;1.0;0.0;2538;2608.949895076261;0.054954184203818;47475
10.0;2.0;0.0036961359926021;2538;2608.949895076261;0.054954184203818;47475
10.0;7.0;0.0149153057926668;2538;2608.949895076261;0.054954184203818;47475
10.0;15.0;0.0245984761310134;2538;2608.949895076261;0.054954184203818;47475
10.0;21.0;0.0299447072943751;2538;2608.949895076261;0.054954184203818;47475
10.0;30.0;0.0396167202369016;2538;2608.949895076261;0.054954184203818;47475
10.0;45.0;0.0553832776252949;2538;2608.949895076261;0.054954184203818;47475
10.0;50.0;0.0593835806914336;2538;2608.949895076261;0.054954184203818;47475
10.0;60.0;0.0679561298715281;2538;2608.949895076261;0.054954184203818;47475
10.0;75.0;0.0761342205895982;2538;2608.949895076261;0.054954184203818;47475
10.0;90.0;0.0915538363720714;2538;2608.949895076261;0.054954184203818;47475
10.0;100.0;0.0973990073949321;2538;2608.949895076261;0.054954184203818;47475
10.0;125.0;0.1156747671790141;2538;2608.949895076261;0.054954184203818;47475
10.0;150.0;0.1256386317341979;2538;2608.949895076261;0.054954184203818;47475
10.0;182.0;0.1694940808176965;2538;2608.949895076261;0.054954184203818;47475
10.0;200.0;0.1505735497916813;2538;2608.949895076261;0.054954184203818;47475
10.0;250.0;0.1848443211412745;2538;2608.949895076261;0.054954184203818;47475
10.0;300.0;0.1946450490325681;2538;2608.949895076261;0.054954184203818;47475
10.0;330.0;0.190248519479968;2538;2608.949895076261;0.054954184203818;47475
10.0;365.0;0.1919192240305992;2538;2608.949895076261;0.054954184203818;47475
10.0;550.0;0.2098037967334995;2538;2608.949895076261;0.054954184203818;47475
10.0;640.0;0.2109924146432494;2538;2608.949895076261;0.054954184203818;47475
10.0;730.0;0.2219972819663322;2538;2608.949895076261;0.054954184203818;47475
10.0;1000.0;0.2195961274154312;2538;2608.949895076261;0.054954184203818;47475
10.0;1500.0;0.2398609081321402;2538;2608.949895076261;0.054954184203818;47475
10.0;2000.0;0.2529439373271915;2538;2608.949895076261;0.054954184203818;47475
10.0;2250.0;0.2617802626837504;2538;2608.949895076261;0.054954184203818;47475
10.0;3000.0;0.2852854471786938;2538;2608.949895076261;0.054954184203818;47475
10.0;3182.0;0.2814243423319297;2538;2608.949895076261;0.054954184203818;47475
10.0;3652.0;0.277418471559083;2538;2608.949895076261;0.054954184203818;47475
11.0;1.0;0.0;534;548.9670410682364;0.0542457550462684;10120
11.0;2.0;0.0019370712288229;534;548.9670410682364;0.0542457550462684;10120
11.0;7.0;0.007095871537476;534;548.9670410682364;0.0542457550462684;10120
11.0;15.0;0.0120509099789133;534;548.9670410682364;0.0542457550462684;10120
11.0;21.0;0.0145232402357078;534;548.9670410682364;0.0542457550462684;10120
11.0;30.0;0.020072089411818;534;548.9670410682364;0.0542457550462684;10120
11.0;45.0;0.0261210016407048;534;548.9670410682364;0.0542457550462684;10120
11.0;50.0;0.0284514783161753;534;548.9670410682364;0.0542457550462684;10120
11.0;60.0;0.033546352924242;534;548.9670410682364;0.0542457550462684;10120
11.0;75.0;0.0368904258739981;534;548.9670410682364;0.0542457550462684;10120
11.0;90.0;0.0435498926878454;534;548.9670410682364;0.0542457550462684;10120
11.0;100.0;0.0450395001628755;534;548.9670410682364;0.0542457550462684;10120
11.0;125.0;0.0536194455200638;534;548.9670410682364;0.0542457550462684;10120
